drug_schedule,description,trade_name_detected,is_billable,is_multi_dose,is_external,is_refrigerated,unit_of_issue,requires_cycle_count_witness,requires_issue_witness,requires_restock_witness,requires_return_witness,requires_waste_witness,Issue Unit Strength,order_quantity,order_unit,order_unit_price
6,Amoxicillin 250mg Capsule,,1,0,0,0,CAP,0,0,0,0,0,250 mg,500,CAP,$0.00
6,Amoxicillin 400 mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,400 mg,250,TAB,$238.45
6,Amoxicillin 50 mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,50 mg,500,TAB,$114.20
6,Amoxicillin 500mg Capsule,,1,0,0,0,CAP,0,0,0,0,0,500 mg,500,CAP,$0.00
6,Amphotericin 3mg/mL Inj,,1,1,0,0,ML,0,0,0,0,0,3 mg,15,ML,$49.15
6,Ampicillin 1000mg Inj,,1,0,0,0,VIAL,0,0,0,0,0,1000 mg,1,VIAL,$3.75
6,Ampicillin 250mg Inj,,1,0,0,0,VIAL,0,0,0,0,0,250 mg,1,VIAL,$2.30
6,Ampicillin 500mg Inj,,1,0,0,0,VIAL,0,0,0,0,0,500 mg,1,VIAL,$2.22
6,Ampicillin Sulbactam 1.5g Inj,,1,0,0,0,VIAL,0,0,0,0,0,1.5 g,10,VIAL,$15.71
6,Ampicillin Sulbactam 30mg/ml Inj,Unasyn,1,1,0,0,ML,0,0,0,0,0,30 mg,50,ML,$58.00
2,Anesketin 100mg/ml Inj,,1,1,0,0,ML,1,1,1,1,1,100mg,5,ML,$0.00
6,Animax Ointment 15ml,Animax,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$13.63
6,Animax Ointment 30 mL,Animax,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$21.25
6,Animax Ointment 7.5ml,Animax,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$9.11
6,Antivenin,,1,0,0,0,DOSE,0,0,0,0,0,,1,DOSE,$0.00
6,Apomorphine 3mg/ml Inj,,1,1,0,0,ML,0,0,0,0,0,3mg,3,ML,$0.00
6,Apomorphone 6mg Tablet,,1,1,0,0,TAB,0,0,0,0,0,6 mg,6,TAB,$0.00
6,aPTT In-House,,1,0,0,0,EACH,0,0,0,0,0,,10,TEST,$0.00
6,Artifical Tears Solution,,1,0,0,0,EACH,0,0,0,0,0,,1,EACH,$0.00
