NDC,Proprietary Name,Non Proprietary Name,Ingredient List,Labeler Name,Product Type,Marketing Category,Application Number or Monograph ID,Link,Inactivation Date,Reactivation Date
48106-1312-6,Gladiator BLU Barrier Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/e546f7ab-7e02-4ecd-a0c4-c8e66028d973/e546f7ab-7e02-4ecd-a0c4-c8e66028d973.xml,,
48106-1312-5,Gladiator BLU Barrier Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/e546f7ab-7e02-4ecd-a0c4-c8e66028d973/e546f7ab-7e02-4ecd-a0c4-c8e66028d973.xml,,
48106-1312-3,Gladiator BLU Barrier Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/e546f7ab-7e02-4ecd-a0c4-c8e66028d973/e546f7ab-7e02-4ecd-a0c4-c8e66028d973.xml,,
48106-1312-1,Gladiator BLU Barrier Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/e546f7ab-7e02-4ecd-a0c4-c8e66028d973/e546f7ab-7e02-4ecd-a0c4-c8e66028d973.xml,,
48106-1312-4,Gladiator BLU Barrier Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/e546f7ab-7e02-4ecd-a0c4-c8e66028d973/e546f7ab-7e02-4ecd-a0c4-c8e66028d973.xml,,
48106-1311-5,Gladiator BLU Base,SODIUM CHLORITE,SODIUM CHLORITE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/0a87bcb8-bebd-48b0-89e9-c6f0a6fffbd0/0a87bcb8-bebd-48b0-89e9-c6f0a6fffbd0.xml,,
48106-1311-1,Gladiator BLU Base,SODIUM CHLORITE,SODIUM CHLORITE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/0a87bcb8-bebd-48b0-89e9-c6f0a6fffbd0/0a87bcb8-bebd-48b0-89e9-c6f0a6fffbd0.xml,,
48106-1311-3,Gladiator BLU Base,SODIUM CHLORITE,SODIUM CHLORITE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/0a87bcb8-bebd-48b0-89e9-c6f0a6fffbd0/0a87bcb8-bebd-48b0-89e9-c6f0a6fffbd0.xml,,
48106-1311-6,Gladiator BLU Base,SODIUM CHLORITE,SODIUM CHLORITE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/0a87bcb8-bebd-48b0-89e9-c6f0a6fffbd0/0a87bcb8-bebd-48b0-89e9-c6f0a6fffbd0.xml,,
48106-1311-2,Gladiator BLU Base,SODIUM CHLORITE,SODIUM CHLORITE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/0a87bcb8-bebd-48b0-89e9-c6f0a6fffbd0/0a87bcb8-bebd-48b0-89e9-c6f0a6fffbd0.xml,,
48106-1311-4,Gladiator BLU Base,SODIUM CHLORITE,SODIUM CHLORITE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/0a87bcb8-bebd-48b0-89e9-c6f0a6fffbd0/0a87bcb8-bebd-48b0-89e9-c6f0a6fffbd0.xml,,
48106-1313-4,Gladiator BLU Pre-Post Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/ea1394dc-baba-42b6-8334-78f36158a52d/ea1394dc-baba-42b6-8334-78f36158a52d.xml,,
48106-1313-2,Gladiator BLU Pre-Post Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/ea1394dc-baba-42b6-8334-78f36158a52d/ea1394dc-baba-42b6-8334-78f36158a52d.xml,,
48106-1313-5,Gladiator BLU Pre-Post Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/ea1394dc-baba-42b6-8334-78f36158a52d/ea1394dc-baba-42b6-8334-78f36158a52d.xml,,
48106-1313-6,Gladiator BLU Pre-Post Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/ea1394dc-baba-42b6-8334-78f36158a52d/ea1394dc-baba-42b6-8334-78f36158a52d.xml,,
48106-1313-3,Gladiator BLU Pre-Post Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/ea1394dc-baba-42b6-8334-78f36158a52d/ea1394dc-baba-42b6-8334-78f36158a52d.xml,,
48106-1313-1,Gladiator BLU Pre-Post Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/ea1394dc-baba-42b6-8334-78f36158a52d/ea1394dc-baba-42b6-8334-78f36158a52d.xml,,
48106-1314-5,Gladiator BLU Winter Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/3f1313fa-5581-4860-a29e-77e2321b770e/3f1313fa-5581-4860-a29e-77e2321b770e.xml,,
48106-1314-4,Gladiator BLU Winter Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/3f1313fa-5581-4860-a29e-77e2321b770e/3f1313fa-5581-4860-a29e-77e2321b770e.xml,,
48106-1314-2,Gladiator BLU Winter Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/3f1313fa-5581-4860-a29e-77e2321b770e/3f1313fa-5581-4860-a29e-77e2321b770e.xml,,
48106-1314-6,Gladiator BLU Winter Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/3f1313fa-5581-4860-a29e-77e2321b770e/3f1313fa-5581-4860-a29e-77e2321b770e.xml,,
48106-1314-1,Gladiator BLU Winter Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/3f1313fa-5581-4860-a29e-77e2321b770e/3f1313fa-5581-4860-a29e-77e2321b770e.xml,,
48106-1314-3,Gladiator BLU Winter Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/3f1313fa-5581-4860-a29e-77e2321b770e/3f1313fa-5581-4860-a29e-77e2321b770e.xml,,
48106-2046-3,Gladiator Max Base,CHLORINE DIOXIDE TEAT DIP,SODIUM CHLORITE,"BOUMATIC, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/186271a1-1a59-4bc3-a587-70aa6a211e91/186271a1-1a59-4bc3-a587-70aa6a211e91.xml,,
48106-2046-5,Gladiator Max Base,CHLORINE DIOXIDE TEAT DIP,SODIUM CHLORITE,"BOUMATIC, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/186271a1-1a59-4bc3-a587-70aa6a211e91/186271a1-1a59-4bc3-a587-70aa6a211e91.xml,,
48106-2046-2,Gladiator Max Base,CHLORINE DIOXIDE TEAT DIP,SODIUM CHLORITE,"BOUMATIC, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/186271a1-1a59-4bc3-a587-70aa6a211e91/186271a1-1a59-4bc3-a587-70aa6a211e91.xml,,
48106-2046-4,Gladiator Max Base,CHLORINE DIOXIDE TEAT DIP,SODIUM CHLORITE,"BOUMATIC, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/186271a1-1a59-4bc3-a587-70aa6a211e91/186271a1-1a59-4bc3-a587-70aa6a211e91.xml,,
48106-2046-6,Gladiator Max Base,CHLORINE DIOXIDE TEAT DIP,SODIUM CHLORITE,"BOUMATIC, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/186271a1-1a59-4bc3-a587-70aa6a211e91/186271a1-1a59-4bc3-a587-70aa6a211e91.xml,,
48106-2046-1,Gladiator Max Base,CHLORINE DIOXIDE TEAT DIP,SODIUM CHLORITE,"BOUMATIC, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/186271a1-1a59-4bc3-a587-70aa6a211e91/186271a1-1a59-4bc3-a587-70aa6a211e91.xml,,
48106-2047-4,Gladiator PostMax Activator,CHLORINE DIOXIDE TEAT DIP,"LACTIC ACID, UNSPECIFIED FORM","BOUMATIC, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/c9fee6d2-1007-4b32-b03e-0be74340c8fc/c9fee6d2-1007-4b32-b03e-0be74340c8fc.xml,,
48106-2047-6,Gladiator PostMax Activator,CHLORINE DIOXIDE TEAT DIP,"LACTIC ACID, UNSPECIFIED FORM","BOUMATIC, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/c9fee6d2-1007-4b32-b03e-0be74340c8fc/c9fee6d2-1007-4b32-b03e-0be74340c8fc.xml,,
48106-2047-2,Gladiator PostMax Activator,CHLORINE DIOXIDE TEAT DIP,"LACTIC ACID, UNSPECIFIED FORM","BOUMATIC, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/c9fee6d2-1007-4b32-b03e-0be74340c8fc/c9fee6d2-1007-4b32-b03e-0be74340c8fc.xml,,
48106-2047-3,Gladiator PostMax Activator,CHLORINE DIOXIDE TEAT DIP,"LACTIC ACID, UNSPECIFIED FORM","BOUMATIC, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/c9fee6d2-1007-4b32-b03e-0be74340c8fc/c9fee6d2-1007-4b32-b03e-0be74340c8fc.xml,,
48106-2047-5,Gladiator PostMax Activator,CHLORINE DIOXIDE TEAT DIP,"LACTIC ACID, UNSPECIFIED FORM","BOUMATIC, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/c9fee6d2-1007-4b32-b03e-0be74340c8fc/c9fee6d2-1007-4b32-b03e-0be74340c8fc.xml,,
48106-2047-1,Gladiator PostMax Activator,CHLORINE DIOXIDE TEAT DIP,"LACTIC ACID, UNSPECIFIED FORM","BOUMATIC, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/c9fee6d2-1007-4b32-b03e-0be74340c8fc/c9fee6d2-1007-4b32-b03e-0be74340c8fc.xml,,
48106-2030-1,Gladiator PrepMax Activator,LACTIC ACID PRE DIP,"LACTIC ACID, UNSPECIFIED FORM","BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/b3bc0c8d-6669-4a07-a394-74c06c6b617e/b3bc0c8d-6669-4a07-a394-74c06c6b617e.xml,,
48106-2030-3,Gladiator PrepMax Activator,LACTIC ACID PRE DIP,"LACTIC ACID, UNSPECIFIED FORM","BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/b3bc0c8d-6669-4a07-a394-74c06c6b617e/b3bc0c8d-6669-4a07-a394-74c06c6b617e.xml,,
48106-2030-2,Gladiator PrepMax Activator,LACTIC ACID PRE DIP,"LACTIC ACID, UNSPECIFIED FORM","BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/b3bc0c8d-6669-4a07-a394-74c06c6b617e/b3bc0c8d-6669-4a07-a394-74c06c6b617e.xml,,
48106-2031-2,Gladiator PrepMax Base,SODIUM CHLORITE PRE DIP,SODIUM CHLORITE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/51ee8e31-a136-4982-baae-40ccba65ee0c/51ee8e31-a136-4982-baae-40ccba65ee0c.xml,,
48106-2031-1,Gladiator PrepMax Base,SODIUM CHLORITE PRE DIP,SODIUM CHLORITE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/51ee8e31-a136-4982-baae-40ccba65ee0c/51ee8e31-a136-4982-baae-40ccba65ee0c.xml,,
48106-2031-3,Gladiator PrepMax Base,SODIUM CHLORITE PRE DIP,SODIUM CHLORITE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/51ee8e31-a136-4982-baae-40ccba65ee0c/51ee8e31-a136-4982-baae-40ccba65ee0c.xml,,
48106-1153-3,Gladiator Pre-Post Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/77442df1-0afd-4734-b1f4-8c6f4b8b6af1/77442df1-0afd-4734-b1f4-8c6f4b8b6af1.xml,,
48106-1153-1,Gladiator Pre-Post Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/77442df1-0afd-4734-b1f4-8c6f4b8b6af1/77442df1-0afd-4734-b1f4-8c6f4b8b6af1.xml,,
48106-1153-6,Gladiator Pre-Post Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/77442df1-0afd-4734-b1f4-8c6f4b8b6af1/77442df1-0afd-4734-b1f4-8c6f4b8b6af1.xml,,
48106-1153-2,Gladiator Pre-Post Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/77442df1-0afd-4734-b1f4-8c6f4b8b6af1/77442df1-0afd-4734-b1f4-8c6f4b8b6af1.xml,,
48106-1153-4,Gladiator Pre-Post Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/77442df1-0afd-4734-b1f4-8c6f4b8b6af1/77442df1-0afd-4734-b1f4-8c6f4b8b6af1.xml,,
48106-1153-5,Gladiator Pre-Post Activator,LACTIC ACID,LACTIC ACID,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/77442df1-0afd-4734-b1f4-8c6f4b8b6af1/77442df1-0afd-4734-b1f4-8c6f4b8b6af1.xml,,
48106-1152-5,Gladiator Pre-Post Base,SODIUM CHLORITE,SODIUM CHLORITE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/d183aec4-dfc9-4de2-ad6a-e57b6d2f6295/d183aec4-dfc9-4de2-ad6a-e57b6d2f6295.xml,,
48106-1152-3,Gladiator Pre-Post Base,SODIUM CHLORITE,SODIUM CHLORITE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/d183aec4-dfc9-4de2-ad6a-e57b6d2f6295/d183aec4-dfc9-4de2-ad6a-e57b6d2f6295.xml,,
48106-1152-2,Gladiator Pre-Post Base,SODIUM CHLORITE,SODIUM CHLORITE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/d183aec4-dfc9-4de2-ad6a-e57b6d2f6295/d183aec4-dfc9-4de2-ad6a-e57b6d2f6295.xml,,
48106-1152-4,Gladiator Pre-Post Base,SODIUM CHLORITE,SODIUM CHLORITE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/d183aec4-dfc9-4de2-ad6a-e57b6d2f6295/d183aec4-dfc9-4de2-ad6a-e57b6d2f6295.xml,,
48106-1152-6,Gladiator Pre-Post Base,SODIUM CHLORITE,SODIUM CHLORITE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/d183aec4-dfc9-4de2-ad6a-e57b6d2f6295/d183aec4-dfc9-4de2-ad6a-e57b6d2f6295.xml,,
48106-1152-1,Gladiator Pre-Post Base,SODIUM CHLORITE,SODIUM CHLORITE,"BouMatic, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/d183aec4-dfc9-4de2-ad6a-e57b6d2f6295/d183aec4-dfc9-4de2-ad6a-e57b6d2f6295.xml,,
48106-1315-1,Gladiator Super Dry,CHLORINE DIOXIDE,CHLORINE DIOXIDE,BOU-MATIC LLC,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/138860fc-2efd-4936-9232-3b00b35a3595/138860fc-2efd-4936-9232-3b00b35a3595.xml,,
80547-124-04,glandex ANAL GLAND MEDICATED,"HYDROCORTISONE, PRAMOXINE HYDROCHLORIDE",PRAMOXINE HYDROCHLORIDE; HYDROCORTISONE,Vetnique Labs Llc,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/bb5affbd-f15f-4cee-ab73-c9e5533da93d/bb5affbd-f15f-4cee-ab73-c9e5533da93d.xml,,
80547-128-50,glandex ANAL GLAND MEDICATED WIPES,"DIPHENHYDRAMINE HYDROCHLORIDE, PRAMOXINE HYDROCHLORIDE, HYDROCORTISONE",HYDROCORTISONE; PRAMOXINE HYDROCHLORIDE; DIPHENHYDRAMINE HYDROCHLORIDE,Vetnique Labs LLC,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/911b5c9c-92d3-44f8-8f4b-40aaa3e8b9cc/911b5c9c-92d3-44f8-8f4b-40aaa3e8b9cc.xml,,
80547-139-04,Glandex MAX VET STRENGTH Anal Gland,"LIDOCAINE HYDROCHLORIDE, HYDROCORTISONE",LIDOCAINE HYDROCHLORIDE; HYDROCORTISONE,Vetnique Labs LLC,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/fe177443-8657-4df2-8cfe-4a80eed60f2e/fe177443-8657-4df2-8cfe-4a80eed60f2e.xml,,
70782-200-08,Glen Haven Benasoothe Conditioner,PRAMOXINE HYDROCHLORIDE AND DIPHENHYDRAMINE HYDROCHLORIDE,PRAMOXINE HYDROCHLORIDE; DIPHENHYDRAMINE HYDROCHLORIDE,GlenHaven LLC,OTC ANIMAL DRUG,UNAPPROVED DRUG OTHER,,https://www.accessdata.fda.gov/spl/data/79544373-4957-4eeb-975a-cb32efbe68b6/79544373-4957-4eeb-975a-cb32efbe68b6.xml,,
70782-258-08,Glen Haven TrizChlor 4,CHLORHEXIDINE GLUCONATE,CHLORHEXIDINE GLUCONATE,GlenHaven LLC,OTC ANIMAL DRUG,UNAPPROVED DRUG OTHER,,https://www.accessdata.fda.gov/spl/data/bda919f6-f98c-43ec-8fdd-a994d5e22b43/bda919f6-f98c-43ec-8fdd-a994d5e22b43.xml,,
70782-201-12,GlenHaven Benasoothe,PRAMOXINE HYDROCHLORIDE AND DIPHENHYDRAMINE HYDROCHLORIDE,PRAMOXINE HYDROCHLORIDE; DIPHENHYDRAMINE HYDROCHLORIDE,GlenHaven LLC,OTC ANIMAL DRUG,Unapproved drug other,,https://www.accessdata.fda.gov/spl/data/4dd4adad-7fde-414e-b54e-6e734e62c990/4dd4adad-7fde-414e-b54e-6e734e62c990.xml,,
13744-525-02,GleptoForte,GLEPTOFERRON,GLEPTOFERRON,Ceva Sante Animale,OTC ANIMAL DRUG,ANADA,ANADA200587,https://www.accessdata.fda.gov/spl/data/e5ddc3c6-e5bd-4f45-9ae7-530e88a864f4/e5ddc3c6-e5bd-4f45-9ae7-530e88a864f4.xml,,
13744-525-01,GleptoForte,GLEPTOFERRON,GLEPTOFERRON,Ceva Sante Animale,OTC ANIMAL DRUG,ANADA,ANADA200587,https://www.accessdata.fda.gov/spl/data/e5ddc3c6-e5bd-4f45-9ae7-530e88a864f4/e5ddc3c6-e5bd-4f45-9ae7-530e88a864f4.xml,,
57319-535-08,Gluc-Amino-Forte 57319-535,GLUCAMINOLYTE,POTASSIUM ACETATE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; CALCIUM CHLORIDE; SODIUM ACETATE ANHYDROUS; DEXTROSE MONOHYDRATE,"Clipper Distributing Company, LLC",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/485f5287-b73d-4c9f-9f67-fbb2f0805ff6/485f5287-b73d-4c9f-9f67-fbb2f0805ff6.xml,,
58005-402-52,GLUCAMINOLYTE FORTE,GLUCAMINOLYTE,SODIUM CHLORIDE; POTASSIUM ACETATE; SODIUM ACETATE ANHYDROUS; CALCIUM CHLORIDE; DEXTROSE MONOHYDRATE; MAGNESIUM CHLORIDE,"Sparhawk Laboratories, Inc.",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/e064ad2f-9b5e-495b-8822-f5eba95ddac3/e064ad2f-9b5e-495b-8822-f5eba95ddac3.xml,,
46066-243-07,GLUCAMINOLYTE FORTE,GLUCAMINOLYTE,CALCIUM CHLORIDE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM ACETATE ANHYDROUS; DEXTROSE MONOHYDRATE; POTASSIUM ACETATE,"Aspen Veterinary Resources, Ltd",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/9474c55c-e9ad-407d-a3da-54366b6b03e2/9474c55c-e9ad-407d-a3da-54366b6b03e2.xml,,
13985-402-52,GLUCAMINOLYTE FORTE,GLUCAMINOLYTE,DEXTROSE MONOHYDRATE; CALCIUM CHLORIDE; POTASSIUM ACETATE; MAGNESIUM CHLORIDE; SODIUM ACETATE ANHYDROUS; SODIUM CHLORIDE,"MWI Veterinary Supply, Inc.",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/3d7d2e38-ad56-42a9-a733-952ca64f9ebf/3d7d2e38-ad56-42a9-a733-952ca64f9ebf.xml,,
50989-056-17,GLUCAMINOLYTE FORTE,GLUCAMINOLYTE,SODIUM CHLORIDE; POTASSIUM ACETATE; SODIUM ACETATE ANHYDROUS; CALCIUM CHLORIDE; DEXTROSE MONOHYDRATE; MAGNESIUM CHLORIDE,"Vedco, Inc.",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/a055ad88-7dd4-4ae0-832f-df1506fd0b01/a055ad88-7dd4-4ae0-832f-df1506fd0b01.xml,,
86002-100-08,gly4Chlor,CHLORHEXIDINE GLUCONATE,CHLORHEXIDINE GLUCONATE,"DermaZoo, LLC",PRESCRIPTION ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/d19e7f9a-d3c6-49f1-8636-8013156966f6/d19e7f9a-d3c6-49f1-8636-8013156966f6.xml,,
58829-228-01,Glycerin,GLYCERIN,GLYCERIN,First Priority Incorporated,OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/b24236a7-6465-4652-90c4-2d2f0330bc6d/b24236a7-6465-4652-90c4-2d2f0330bc6d.xml,,
86002-101-08,GlyChlorK,"CHLORHEXIDINE GLUCONATE,KETOCONAZOLE",CHLORHEXIDINE GLUCONATE; KETOCONAZOLE,"DermaZoo, LLC",PRESCRIPTION ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/2abae347-9342-44a2-87df-02f3eca7b683/2abae347-9342-44a2-87df-02f3eca7b683.xml,,
86002-102-08,GlycoBenz,"BENZOYL PEROXIDE, GLYCOLIC ACID",GLYCOLIC ACID; BENZOYL PEROXIDE,"DermaZoo, LLC",PRESCRIPTION ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/6dcb8cd8-ded9-488c-8634-39691a3768e2/6dcb8cd8-ded9-488c-8634-39691a3768e2.xml,,
70346-100-05,GMS Electrolyte Solution Compound Sodium Lactate Hartmanns,"SODIUM CHLORIDE, POTASSIUM CHLORIDE, SODIUM LACTATE AND CALCIUM CHLORIDE",CALCIUM CHLORIDE; SODIUM LACTATE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,"GM Scientific, LLC",PRESCRIPTION ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/8697559b-ff58-4c79-9c1f-27376f1b3b3a/8697559b-ff58-4c79-9c1f-27376f1b3b3a.xml,,
74651-0008-1,GMW VITAPET,ZEOLITE,ZEOLITE A,"DONGBO BIO CO.,LTD",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/478b64d3-3485-4572-a418-9943ab8b235f/478b64d3-3485-4572-a418-9943ab8b235f.xml,,
74651-0009-1,GMW VITAPET WATER,SODIUM,SODIUM,"DONGBO BIO CO.,LTD",OTC ANIMAL DRUG,unapproved drug other,,https://www.accessdata.fda.gov/spl/data/a8677121-02f0-48cd-ab1a-a7f3a735dd23/a8677121-02f0-48cd-ab1a-a7f3a735dd23.xml,,
43655-004-02,GNC Pets Anti-Baceterial and Anti-Fungal (Premium Formula),CHLORHEXIDINE GLUCONATE AND KETOCONAZOLE,CHLORHEXIDINE GLUCONATE; KETOCONAZOLE,General Nutrition Corporation,OTC ANIMAL DRUG,UNAPPROVED DRUG OTHER,,https://www.accessdata.fda.gov/spl/data/ca35b8fb-b3dd-4fad-9eb0-7a28fe60724e/ca35b8fb-b3dd-4fad-9eb0-7a28fe60724e.xml,,
43655-004-01,GNC Pets Anti-Baceterial and Anti-Fungal (Premium Formula),CHLORHEXIDINE GLUCONATE AND KETOCONAZOLE,CHLORHEXIDINE GLUCONATE; KETOCONAZOLE,General Nutrition Corporation,OTC ANIMAL DRUG,UNAPPROVED DRUG OTHER,,https://www.accessdata.fda.gov/spl/data/ca35b8fb-b3dd-4fad-9eb0-7a28fe60724e/ca35b8fb-b3dd-4fad-9eb0-7a28fe60724e.xml,,
43655-006-01,GNC Pets Anti-Bacterial and Anti-Fungal (Premium Formula),CHLORHEXIDINE GLUCONATE AND KETOCONAZOLE,CHLORHEXIDINE GLUCONATE; KETOCONAZOLE,General Nutrition Corporation,OTC ANIMAL DRUG,UNAPPROVED DRUG OTHER,,https://www.accessdata.fda.gov/spl/data/ba12d513-5464-4755-99da-669e30769966/ba12d513-5464-4755-99da-669e30769966.xml,,
43655-005-01,GNC Pets Anti-Bacterial and Anti-Fungal Conditioner (Premium Formula),CHLORHEXIDINE GLUCONATE AND KETOCONAZOLE,KETOCONAZOLE; CHLORHEXIDINE GLUCONATE,General Nutrition Corporation,OTC ANIMAL DRUG,UNAPPROVED DRUG OTHER,,https://www.accessdata.fda.gov/spl/data/943f98e2-d38a-4c06-ada9-c8da30c50428/943f98e2-d38a-4c06-ada9-c8da30c50428.xml,,
